Korean,English,Arabic,Japanese
최근에 이룬 것들 중 가장 인상적인 것은?,What is the most impressive achievement in recent days?,"ما هو الإنجاز الأكثر إثارة للإعجاب في الأيام الأخيرة؟",ここ最近で最も印象的な成果は何ですか？
가장 좋아하는 음식은?,What is your favorite food?,"ماهو طعامك المفضل؟",好きな食べ物は何ですか？
올해 이루고 싶은 목표는?,What would you like to achieve in this year?,"ما الذي تود انجازه في هذا العام؟",この1年で実現したいことは何ですか？
가장 아끼는 물건이 있다면?,What is the most valuable item for you?,ماهو  الشيء الاكتر قيمة بالنسبة لك ؟,あなたにとって一番大切なものは何ですか？
가장 기억에 남는 여행은?,What is your best travel experience?,ماهي افضل تجربة سفر قمت بها,あなたの最高の旅行の体験は何ですか？
좋아하는 음악 장르는?,What genre of music do you like?,?ما نوع الموسيقى المفضل لديك,好きな音楽のジャンルは？
당신에게 완벽한 하루란?,What is the perfect day for you?,?ما هو اليوم المميز بالنسبة لك,あなたにとって、最高の一日とは？
가장 아끼는 책은?,What is your favorite book?,ما هو كتابك المفضل,好きな本は何ですか？
저녁 식사에 누구든 초대할 수 있다면 누구를 초대할 것인지?,"If you could invite anyone to dinner, who would you invite?",اذا اردت دعوة شخص ما الى العشاء من سوف تدعوه؟,もし、誰でもディナーに招待できるとしたら、誰を招待しますか？
아침에 눈 뜨자마자 하는 일은?,What do you do right after you wake up in the morning?,ما الذي تقعله بعد الاستيقاظ مباشرة؟,朝起きてすぐにすることは？
지금까지 진행한 프로젝트 중 가장 기억에 남는 것은?,What is the most memorable project you joined?,ماهو المشروع الذي لا ينسى قمت بالانضمام اليه؟,参加したプロジェクトの中で、最も印象に残っているものは何ですか？
가장 좋아하는 유튜브 채널은?,What is your favorite YouTube channel?,ماهي قناة اليوتيوب المفضله لديك؟,お気に入りのYouTubeチャンネルは何ですか？
지금 전공에 상관없이 더 공부하고 싶은 분야가 있다면?,"Regardless of your major, is there any field you would like to study further?", بغض النظر عن مجال دراستك او عملك ما هو المجال الذي تود دراسته؟,専攻に関係なく、さらに勉強したい分野はありますか？
가장 좋아하는 영화는?,What is your favorite film?,ماهو فيلمك المفضل؟,好きな映画は何ですか？
가장 좋아하는 날씨는?,What is your favorite kind of weather?,ما هو طقسك المفضل,好きな天気は？
내 책이 나온다면 그 책은 과연 무슨 내용일지?,"If you were to write a book, what would it be about?",اذا اردت كتابة كتاب  سياكون عن من؟,もし本を書くとしたら、どんな本を書きますか？
가장 좋아하는 색깔은?,What is your favorite color?,ماهو لونك المفضل؟,好きな色は何色ですか？
나만의 독특한 습관이 있다면?,What is one unique daily habit you have?,ماهي عادتك المفضله؟,あなたが毎日しているユニークな習慣は何ですか？
친구를 사랑하는 이유는?,Do you love your friends and why?,هل تحب اصدقائك ولماذا؟,友達を愛する理由は？
인공 지능이 곧 세상을 멸망시킬 것이라고 생각하는지?,Do you believe that artificial intelligence will destroy the world soon?,هل تؤمن ان الذكاء الاصطناعي سيدمر العالم قريبا؟,人工知能がもうすぐ世界を滅ぼすと思いますか？
